file_id;model_name;sdr;emb_mse_mert_df;DMOS;singmos;emb_mse_music2latent_df
fileid_13;melroformer_bigvgan;-13.752312689502396;0.0834;3.9166666666666665;3.981314659118652;0.4177
fileid_23;melroformer_small;14.364988754164004;0.06067;2.5833333333333335;4.09259557723999;0.1818
fileid_4;melroformer_small;11.56443236159916;0.08044;2.5833333333333335;4.300116062164307;0.2566
fileid_17;melroformer_bigvgan;-6.090425689079212;0.0752;3.8333333333333335;3.964291572570801;0.4814
fileid_10;melroformer_bigvgan;-3.105698698441717;0.04593;4.166666666666667;4.657629013061523;0.4436
fileid_37;melroformer_large;8.617043405704756;0.0877;3.5833333333333335;3.4054837226867676;0.11774
fileid_10;melroformer_small;16.252210375036988;0.02794;4.0;4.756413459777832;0.08374
fileid_28;sgmsvs;5.871838940238394;0.0951;3.8333333333333335;1.9033435583114624;0.2024
fileid_24;melroformer_small;6.001382057630138;0.0574;2.25;3.382920026779175;0.1515
fileid_46;htdemucs;10.71885403601694;0.1285;2.8333333333333335;3.936445951461792;0.1924
fileid_23;melroformer_large;6.12319227526833;0.1049;3.4166666666666665;3.1526944637298584;0.5137
fileid_9;melroformer_small;7.267292538744058;165;1.4166666666666667;3.4052250385284424;605
fileid_6;sgmsvs;1.172713367617826;0.1876;1.0833333333333333;3.004526853561402;0.9214
fileid_44;melroformer_large;20.239332883987203;0.0353;4.5;2.4120495319366455;0.0576
fileid_23;melroformer_bigvgan;-4.597792084927599;0.0744;3.5833333333333335;3.957559108734131;0.3237
fileid_20;melroformer_large;14.196484979686003;0.0534;3.25;4.002063751220703;0.1879
fileid_12;melroformer_large;20.13963666034593;0.0586;3.8333333333333335;4.18033504486084;0.1125
fileid_12;melroformer_bigvgan;-9.227501899601616;0.08624;2.9166666666666665;3.8344008922576904;0.4382
fileid_1;htdemucs;7.876522026179787;89;3.0833333333333335;3.3066797256469727;0.2168
fileid_43;melroformer_large;16.369096781769652;0.11145;3.4166666666666665;3.783815622329712;0.1451
fileid_5;melroformer_large;13.541929564126406;0.0739;2.75;4.4141621589660645;0.1648
fileid_29;htdemucs;8.842795703159394;0.1411;1.5;3.475034475326538;0.3137
fileid_0;melroformer_large;22.245703907555793;0.03123;1.9166666666666667;3.2878007888793945;0.03998
fileid_40;melroformer_small;7.388112055065879;0.0913;2.1666666666666665;2.7589175701141357;0.2815
fileid_44;melroformer_small;23.118174457699673;0.0372;3.5833333333333335;2.883578062057495;0.0626
fileid_40;htdemucs;5.775187231731555;0.0957;2.4166666666666665;3.1351726055145264;0.2832
fileid_35;htdemucs;7.443578527901047;0.10095;3.0;2.9627184867858887;0.2744
fileid_7;melroformer_large;13.41884747687596;0.0849;3.3333333333333335;4.10368013381958;0.1582
fileid_21;melroformer_small;13.605866552797456;0.0841;2.75;3.2892773151397705;0.2754
fileid_12;htdemucs;11.664298177755333;127;2.5;4.089592933654785;0.3457
fileid_46;melroformer_large;14.386906043015168;0.11096;2.8333333333333335;3.988092184066773;0.2004
fileid_16;melroformer_small;6.839902005246385;126;2.9166666666666665;2.9631807804107666;282
fileid_40;melroformer_bigvgan;-10.460029598778476;98;3.4166666666666665;2.805480480194092;481
fileid_41;htdemucs;-0.0186782775894414;0.1492;1.25;2.9751594066619873;0.62
fileid_41;melroformer_bigvgan;-7.72156576905593;0.1442;1.4166666666666667;2.669987440109253;677
fileid_40;melroformer_large;9.888128649489945;0.05045;3.0;2.817738771438598;0.12476
fileid_4;melroformer_bigvgan;-8.25459488060157;0.09686;3.1666666666666665;4.014041900634766;0.4407
fileid_24;melroformer_bigvgan;-6.292695559044005;0.1121;3.0833333333333335;2.717345952987671;274
fileid_37;sgmsvs;-4.391789434028279;0.1537;1.9166666666666667;2.9912002086639404;0.4883
fileid_39;melroformer_small;12.402786536599592;0.07;3.4166666666666665;3.908915519714355;0.1523
fileid_19;sgmsvs;8.764555614223106;0.07745;3.25;3.890579462051392;0.1779
fileid_32;sgmsvs;4.328221220312241;89;3.9166666666666665;2.925057172775269;177
fileid_42;melroformer_small;9.520083073213648;0.0979;4.0;3.862383365631103;0.1421
fileid_0;sgmsvs;17.95602210075024;0.0725;2.3333333333333335;3.467307806015014;0.1439
fileid_36;melroformer_small;-0.3030903013940238;0.2196;1.1666666666666667;2.924916505813598;0.8477
fileid_33;melroformer_bigvgan;-6.621002838155148;0.0936;3.4166666666666665;3.7479207515716553;0.2593
fileid_8;sgmsvs;5.647123000009212;0.11896;3.4166666666666665;2.5994558334350586;0.3308
fileid_21;sgmsvs;12.944525501033151;88;3.5;3.405029535293579;0.2834
